geneId,id,start_position,end_position,length
ENSG00000000003,0,100627109,100639991,12883
ENSG00000000005,1,100584802,100599885,15084
ENSG00000000419,2,50934867,50958555,23689
ENSG00000000457,3,169849631,169894267,44637
ENSG00000000460,4,169662007,169854080,192074
ENSG00000000938,5,27612064,27635277,23214
ENSG00000000971,6,196651878,196747504,95627
ENSG00000001036,7,143494811,143511690,16880
ENSG00000001084,8,53497341,53616970,119630
ENSG00000001167,9,41072945,41099976,27032
ENSG00000001460,10,24356999,24416934,59936
ENSG00000001461,11,24415794,24472976,57183
ENSG00000001497,12,65512582,65534775,22194
ENSG00000001561,13,46129993,46146699,16707
ENSG00000001617,14,50155045,50189075,34031
ENSG00000001626,15,117465784,117715971,250188
ENSG00000001629,16,92246234,92401384,155151
ENSG00000001630,17,92112151,92142952,30802
ENSG00000001631,18,92198969,92246166,47198
ENSG00000002016,19,912077,990053,77977
ENSG00000002079,20,99238829,99311130,72302
ENSG00000002330,21,64269830,64284704,14875
ENSG00000002549,22,17577192,17607972,30781
ENSG00000002586,23,2691179,2741309,50131
ENSG00000002587,24,11393150,11429765,36616
ENSG00000002726,25,150824627,150861504,36878
ENSG00000002745,26,121325367,121341104,15738
ENSG00000002746,27,43112599,43566001,453403
ENSG00000002822,28,1815793,2233243,417451
ENSG00000002834,29,38869859,38921770,51912
ENSG00000002919,30,48103357,48123074,19718
ENSG00000002933,31,150800403,150805120,4718
ENSG00000003056,32,8940363,8949955,9593
ENSG00000003096,33,117897813,118117340,219528
ENSG00000003137,34,72129238,72148038,18801
ENSG00000003147,35,8113184,8262687,149504
ENSG00000003249,36,90004865,90020128,15264
ENSG00000003393,37,201700554,201781189,80636
ENSG00000003400,38,201182881,201229406,46526
ENSG00000003402,39,201116104,201176687,60584
ENSG00000003436,40,187464230,187565760,101531
ENSG00000003509,41,37231631,37253403,21773
ENSG00000003756,42,50088908,50119021,30114
ENSG00000003987,43,17298030,17413528,115499
ENSG00000003989,44,17497088,17570573,73486
ENSG00000004059,45,127588345,127591705,3361
ENSG00000004139,46,28364356,28404049,39694
ENSG00000004142,47,28347177,28357522,10346
ENSG00000004399,48,129555175,129606818,51644
ENSG00000004455,49,33007940,33080996,73057
ENSG00000004468,50,15778275,15853230,74956
ENSG00000004478,51,2794953,2805423,10471
ENSG00000004487,52,23019448,23083689,64242
ENSG00000004534,53,49940007,50100045,160039
ENSG00000004660,54,3860315,3894891,34577
ENSG00000004700,55,21468911,21501669,32759
ENSG00000004766,56,93232340,93361121,128782
ENSG00000004776,57,35754569,35758079,3511
ENSG00000004777,58,35774532,35788822,14291
ENSG00000004779,59,23581002,23596356,15355
ENSG00000004799,60,95583499,95596491,12993
ENSG00000004809,61,110424687,110476641,51955
ENSG00000004838,62,50341110,50346852,5743
ENSG00000004846,63,20615207,20777038,161832
ENSG00000004848,64,25003694,25016420,12727
ENSG00000004864,65,96120220,96322147,201928
ENSG00000004866,66,116953238,117230103,276866
ENSG00000004897,67,47117703,47189422,71720
ENSG00000004939,68,44248385,44268141,19757
ENSG00000004948,69,93424487,93574730,150244
ENSG00000004961,70,11111301,11123078,11778
ENSG00000004975,71,7225341,7234545,9205
ENSG00000005001,72,2852727,2858170,5444
ENSG00000005007,73,18831938,18868236,36299
ENSG00000005020,74,26667062,26995239,328178
ENSG00000005022,75,119468400,119471319,2920
ENSG00000005059,76,109560205,109688726,128522
ENSG00000005073,77,27181510,27185223,3714
ENSG00000005075,78,102473118,102478907,5790
ENSG00000005100,79,5440912,5469060,28149
ENSG00000005102,80,43640388,43661954,21567
ENSG00000005108,81,11370357,11832198,461842
ENSG00000005156,82,34980494,35009743,29250
ENSG00000005175,83,47661249,47706061,44813
ENSG00000005187,84,20610243,20797581,187339
ENSG00000005189,85,20806429,20849668,43240
ENSG00000005194,86,57428169,57447528,19360
ENSG00000005206,87,2328615,2354806,26192
ENSG00000005238,88,35104112,35116341,12230
ENSG00000005243,89,48026167,48038030,11864
ENSG00000005249,90,107044649,107161811,117163
ENSG00000005302,91,11758159,11775753,17595
ENSG00000005339,92,3725054,3880726,155673
ENSG00000005379,93,58301228,58328760,27533
ENSG00000005381,94,58269856,58280935,11080
ENSG00000005421,95,95297676,95324707,27032
ENSG00000005436,96,75652000,75710989,58990
ENSG00000005448,97,74421678,74425755,4078
ENSG00000005469,98,87345681,87399795,54115
ENSG00000005471,99,87401697,87480435,78739
ENSG00000005483,100,105014179,105114361,100183
ENSG00000005486,101,75842602,75888926,46325
ENSG00000005513,102,981808,986979,5172
ENSG00000005700,103,82169983,82247754,77772
ENSG00000005801,104,3339261,3379222,39962
ENSG00000005810,105,77044655,77327050,282396
ENSG00000005812,106,76992598,77027195,34598
ENSG00000005844,107,30472658,30523185,50528
ENSG00000005882,108,50094737,50112152,17416
ENSG00000005884,109,50055968,50090481,34514
ENSG00000005889,110,24149173,24216255,67083
ENSG00000005893,111,120427827,120469365,41539
ENSG00000005961,112,44372180,44389505,17326
ENSG00000005981,113,95478444,95540232,61789
ENSG00000006007,114,19501689,19522145,20457
ENSG00000006015,115,18588685,18592336,3652
ENSG00000006016,116,18572220,18607741,35522
