ensembl_id,start,end,length,id
ENSRNOG00000000001,230660664,230662084,1421,1
ENSRNOG00000000007,56861396,56902157,40762,2
ENSRNOG00000000008,82548959,82585531,36573,3
ENSRNOG00000000009,104749051,104765436,16386,4
ENSRNOG00000000010,20607507,20611316,3810,5
ENSRNOG00000000012,147643250,147649504,6255,6
ENSRNOG00000000017,25435873,25446461,10589,7
ENSRNOG00000000021,151987078,151988279,1202,8
ENSRNOG00000000024,168903565,168933079,29515,9
ENSRNOG00000000033,49132667,49169918,37252,10
ENSRNOG00000000034,49092306,49109050,16745,11
ENSRNOG00000000035,1937041,1957579,20539,12
ENSRNOG00000000036,49074644,49082729,8086,13
ENSRNOG00000000040,72861090,72893187,32098,14
ENSRNOG00000000041,2050483,2056089,5607,15
ENSRNOG00000000042,72918490,73056875,138386,16
ENSRNOG00000000043,2042411,2056762,14352,17
ENSRNOG00000000044,2083712,2100005,16294,18
ENSRNOG00000000047,82324354,82368357,44004,19
ENSRNOG00000000048,2100106,2174318,74213,20
ENSRNOG00000000053,91054974,91093713,38740,21
ENSRNOG00000000054,19866022,19872774,6753,22
ENSRNOG00000000055,90982814,90992406,9593,23
ENSRNOG00000000060,2194933,2226598,31666,24
ENSRNOG00000000062,2247808,2297155,49348,25
ENSRNOG00000000064,2325308,2326436,1129,26
ENSRNOG00000000065,2328750,2371883,43134,27
ENSRNOG00000000066,100715260,100740728,25469,28
ENSRNOG00000000068,110033550,110077946,44397,29
ENSRNOG00000000070,1621026,1632378,11353,30
ENSRNOG00000000073,2613406,2633950,20545,31
ENSRNOG00000000075,2658267,2700977,42711,32
ENSRNOG00000000081,13192347,13274978,82632,33
ENSRNOG00000000082,104854572,104914173,59602,34
ENSRNOG00000000091,144191846,144212138,20293,35
ENSRNOG00000000095,198999946,199038702,38757,36
ENSRNOG00000000096,198965685,198999323,33639,37
ENSRNOG00000000097,198935133,198942732,7600,38
ENSRNOG00000000098,198852500,198919995,67496,39
ENSRNOG00000000104,10676943,10686134,9192,40
ENSRNOG00000000105,10756285,10818835,62551,41
ENSRNOG00000000108,41222238,41234095,11858,42
ENSRNOG00000000109,55152748,55159352,6605,43
ENSRNOG00000000111,80826681,80831791,5111,44
ENSRNOG00000000112,80839374,80850340,10967,45
ENSRNOG00000000113,69706522,69723869,17348,46
ENSRNOG00000000121,151886035,151898022,11988,47
ENSRNOG00000000122,147185474,147204050,18577,48
ENSRNOG00000000123,147246037,147270957,24921,49
ENSRNOG00000000124,110507,110749,243,50
ENSRNOG00000000127,147850275,147886615,36341,51
ENSRNOG00000000129,58359498,58383070,23573,52
ENSRNOG00000000130,58393233,58401870,8638,53
ENSRNOG00000000133,9429175,9441526,12352,54
ENSRNOG00000000137,28104589,28191436,86848,55
ENSRNOG00000000138,127160495,127233078,72584,56
ENSRNOG00000000142,83221827,83610272,388446,57
ENSRNOG00000000145,135074297,135142488,68192,58
ENSRNOG00000000150,84986991,85141210,154220,59
ENSRNOG00000000151,152966591,152987211,20621,60
ENSRNOG00000000155,57755189,57805184,49996,61
ENSRNOG00000000156,171472273,171620947,148675,62
ENSRNOG00000000157,40721800,40732126,10327,63
ENSRNOG00000000158,40701984,40716686,14703,64
ENSRNOG00000000161,84666900,84821775,154876,65
ENSRNOG00000000164,124722628,124766044,43417,66
ENSRNOG00000000165,23092159,23144324,52166,67
ENSRNOG00000000166,23146085,23166675,20591,68
ENSRNOG00000000167,23167696,23187341,19646,69
ENSRNOG00000000168,114711562,114728410,16849,70
ENSRNOG00000000169,114747410,114760409,13000,71
ENSRNOG00000000170,114805922,114828154,22233,72
ENSRNOG00000000172,114900343,114939370,39028,73
ENSRNOG00000000175,13039781,13055632,15852,74
ENSRNOG00000000177,13062196,13070280,8085,75
ENSRNOG00000000184,119659324,119689938,30615,76
ENSRNOG00000000185,119626637,119631425,4789,77
ENSRNOG00000000186,119616324,119623072,6749,78
ENSRNOG00000000187,119554354,119568776,14423,79
ENSRNOG00000000190,122818975,122861296,42322,80
ENSRNOG00000000195,42443442,42466907,23466,81
ENSRNOG00000000196,58744849,58772408,27560,82
ENSRNOG00000000199,85711795,85712647,853,83
ENSRNOG00000000201,85553734,85565179,11446,84
ENSRNOG00000000204,96105025,96266342,161318,85
ENSRNOG00000000219,130813214,130930990,117777,86
ENSRNOG00000000221,130973201,131001458,28258,87
ENSRNOG00000000230,14945265,15031942,86678,88
ENSRNOG00000000231,119647375,119658148,10774,89
ENSRNOG00000000233,36345939,36360665,14727,90
ENSRNOG00000000236,67762995,67774787,11793,91
ENSRNOG00000000237,67739103,67751002,11900,92
ENSRNOG00000000239,69423086,69424979,1894,93
ENSRNOG00000000244,76320041,76341418,21378,94
ENSRNOG00000000245,97735548,97756521,20974,95
ENSRNOG00000000246,97710905,97721440,10536,96
ENSRNOG00000000247,105796680,105815696,19017,97
ENSRNOG00000000248,105792779,105795958,3180,98
ENSRNOG00000000249,105787935,105792598,4664,99
ENSRNOG00000000250,105781753,105787803,6051,100
ENSRNOG00000000251,105713317,105723700,10384,101
ENSRNOG00000000252,3608893,3609174,282,102
ENSRNOG00000000257,38237965,38321528,83564,103
ENSRNOG00000000258,38189605,38237308,47704,104
ENSRNOG00000000262,41941077,41960083,19007,105
ENSRNOG00000000264,56243408,56259196,15789,106
ENSRNOG00000000274,19318250,19358719,40470,107
ENSRNOG00000000275,19360230,19479325,119096,108
ENSRNOG00000000277,27366213,27437427,71215,109
ENSRNOG00000000279,48881194,48925081,43888,110
ENSRNOG00000000281,87058616,87075785,17170,111
ENSRNOG00000000282,87220618,87222606,1989,112
ENSRNOG00000000283,87224421,87233326,8906,113
ENSRNOG00000000288,87722350,87733734,11385,114
ENSRNOG00000000299,46428124,46519144,91021,115
ENSRNOG00000000302,46667121,46758305,91185,116
ENSRNOG00000000303,46610146,46666830,56685,117
ENSRNOG00000000304,46250363,46261994,11632,118
ENSRNOG00000000306,46211892,46215120,3229,119
ENSRNOG00000000307,46199981,46211930,11950,120
ENSRNOG00000000308,46168177,46189806,21630,121
ENSRNOG00000000312,45922806,46044738,121933,122
ENSRNOG00000000314,47494270,47563222,68953,123
ENSRNOG00000000316,47750762,47910375,159614,124
ENSRNOG00000000320,48299964,48310175,10212,125
ENSRNOG00000000321,48335540,48340846,5307,126
ENSRNOG00000000322,49318308,49393140,74833,127
ENSRNOG00000000323,49464919,49556518,91600,128
ENSRNOG00000000327,50652745,50783937,131193,129
ENSRNOG00000000335,138227855,138239306,11452,130
ENSRNOG00000000340,4882947,4893919,10973,131
ENSRNOG00000000341,4894213,4951917,57705,132
ENSRNOG00000000345,103808288,103809191,904,133
ENSRNOG00000000368,53789760,54517709,727950,134
ENSRNOG00000000373,25064702,25826658,761957,135
ENSRNOG00000000376,26534535,26534759,225,136
ENSRNOG00000000378,26516836,26589209,72374,137
ENSRNOG00000000383,26988774,27074138,85365,138
ENSRNOG00000000384,27082961,27083410,450,139
ENSRNOG00000000386,27103317,27117663,14347,140
ENSRNOG00000000387,27254984,27308069,53086,141
ENSRNOG00000000390,27220707,27247309,26603,142
ENSRNOG00000000392,32057454,32080088,22635,143
ENSRNOG00000000394,32120320,32139789,19470,144
ENSRNOG00000000395,32191734,32211453,19720,145
ENSRNOG00000000396,32239748,32269145,29398,146
ENSRNOG00000000397,32373443,32416044,42602,147
ENSRNOG00000000398,32471672,32501722,30051,148
ENSRNOG00000000401,32607653,32628953,21301,149
ENSRNOG00000000405,33077106,33082962,5857,150
ENSRNOG00000000406,33100191,33323367,223177,151
ENSRNOG00000000407,33359196,33453766,94571,152
ENSRNOG00000000408,33471351,33521311,49961,153
ENSRNOG00000000410,33527932,33543848,15917,154
ENSRNOG00000000411,33557052,33584010,26959,155
ENSRNOG00000000412,34258791,34420824,162034,156
ENSRNOG00000000413,34633157,34642904,9748,157
ENSRNOG00000000414,34575950,34684418,108469,158
ENSRNOG00000000415,34894419,34909265,14847,159
ENSRNOG00000000417,167051209,167091453,40245,160
ENSRNOG00000000418,4572100,4574956,2857,161
ENSRNOG00000000419,4536203,4561066,24864,162
ENSRNOG00000000420,4530342,4536209,5868,163
ENSRNOG00000000421,4519474,4530126,10653,164
ENSRNOG00000000422,4517307,4519389,2083,165
ENSRNOG00000000423,4317440,4318342,903,166
ENSRNOG00000000428,4486219,4489550,3332,167
ENSRNOG00000000431,4414276,4422283,8008,168
ENSRNOG00000000432,4411876,4413366,1491,169
ENSRNOG00000000433,4392626,4396250,3625,170
ENSRNOG00000000435,4381455,4401610,20156,171
ENSRNOG00000000436,4378206,4380600,2395,172
ENSRNOG00000000437,4369178,4378269,9092,173
ENSRNOG00000000438,4366246,4368693,2448,174
ENSRNOG00000000439,4363152,4366079,2928,175
ENSRNOG00000000440,4357733,4362682,4950,176
