transcript_id,length
uc001aaa.3,1652
uc001aac.4,1746
uc001aae.4,2412
uc001aah.4,1769
uc001aai.1,1577
uc001aak.3,1130
uc001aal.1,918
uc001aaq.2,32
uc001aar.2,62
uc001aau.3,4370
uc001aax.1,802
uc001abb.3,70
uc001abe.4,4273
uc001abi.2,62
uc001abj.3,32
uc001abl.3,32
uc001abm.2,683
uc001abo.3,1371
uc001abp.2,6776
uc001abt.4,1706
uc001abu.1,3043
uc001abv.1,490
uc001abw.1,2554
uc001abx.2,2446
uc001aby.4,4283
uc001abz.4,2800
uc001aca.2,2564
uc001acb.1,955
uc001acc.2,2007
uc001acd.3,2400
uc001ace.3,2556
uc001acf.3,2295
uc001acg.2,1214
uc001ach.2,3040
uc001aci.2,962
uc001acj.4,666
uc001ack.2,7326
uc001acl.1,971
uc001acn.2,2741
uc001acr.2,2373
uc001acs.2,2276
uc001act.2,2704
uc001acu.2,2104
uc001acv.3,1618
uc001acw.2,95
uc001acx.1,3532
uc001acy.2,2259
uc001acz.2,2113
uc001ada.3,1063
uc001adb.3,1179
uc001adc.3,1200
uc001add.3,989
uc001ade.3,1104
uc001adf.3,1737
uc001adg.3,3540
uc001adh.4,2022
uc001adi.4,2138
uc001adj.1,771
uc001adk.3,2792
uc001adl.2,1043
uc001adm.4,2264
uc001ado.3,2308
uc001adp.3,2260
uc001adq.3,2389
uc001adr.3,2129
uc001adt.1,3054
uc001adu.1,2960
uc001adv.2,2590
uc001adw.2,2684
uc001adx.2,2530
uc001ady.2,3211
uc001aea.2,5325
uc001aeb.2,3759
uc001aec.1,1946
uc001aed.3,1240
uc001aee.2,2156
uc001aef.2,2629
uc001aeg.2,2531
uc001aeh.2,1853
uc001aei.2,1862
uc001aek.2,1939
uc001ael.3,1589
uc001aen.2,2504
uc001aeo.3,2193
uc001aer.4,2924
uc001aew.3,2273
uc001aex.4,1994
uc001aey.4,1976
uc001aez.3,1970
uc001afa.3,2729
uc001afb.1,781
uc001afc.2,990
uc001afd.2,909
uc001aff.1,4362
uc001afg.1,2868
uc001afi.2,3115
uc001afj.2,3129
uc001afm.3,1748
uc001afo.4,733
uc001afp.3,1632
uc001afq.3,1651
uc001afr.3,4264
uc001afs.3,4659
uc001aft.2,3859
uc001afv.3,2433
uc001afw.2,1939
uc001afx.3,2668
uc001afz.2,2646
uc001aga.2,2502
uc001agb.2,2332
uc001agc.1,2616
uc001agd.3,1303
uc001age.1,2970
uc001agf.1,1048
uc001agg.3,3338
uc001agh.3,3296
uc001agi.3,3326
uc001agj.3,3121
uc001agk.3,3143
uc001agl.2,2970
uc001agm.3,2936
uc001agn.3,2314
uc001ago.3,591
uc001agp.3,1240
uc001agq.3,1307
uc001agr.3,906
uc001ags.1,2053
uc001agt.1,1877
uc001agv.1,2452
uc001agw.1,2451
uc001agx.1,2404
uc001agy.1,2431
uc001agz.1,2192
uc001aha.1,2499
uc001ahc.1,335
uc001ahe.4,5142
uc001ahf.4,6421
uc001ahg.4,6003
uc001ahh.4,5923
uc001ahi.1,906
uc001ahj.4,1779
uc001aht.1,887
uc001ahu.1,704
uc001ahv.1,734
uc001ahw.1,657
uc001ahx.2,1808
uc001ahy.3,2158
uc001aia.2,6294
uc001aic.3,3235
uc001aid.4,3166
uc001aie.3,3653
uc001aif.3,3163
uc001aih.1,1101
uc001aii.2,1118
uc001aij.2,958
uc001aik.3,2098
uc001ail.3,2756
uc001aim.1,4710
uc001ain.1,2145
uc001aio.1,1954
